,,,,,,,,,,,,,,
,,CLTR411-011,실용영어1,2.0 ,,2.0 ,,"피어슨, 브랜든","월7A,7B 금7A,7B",,,외국어교육관-425,환경공학과,
,,CLTR411-012,실용영어1,2.0 ,,2.0 ,,"워트링,앤쏘니","월7A,7B 금7A,7B",,,외국어교육관-421,환경공학과,
,,CLTR411-013,실용영어1,2.0 ,,2.0 ,,"위드로우, 애덤 크리스토퍼","수1A,1B 금3A,3B",,,외국어교육관-420,섬유시스템공학과,
,,CLTR411-014,실용영어1,2.0 ,,2.0 ,,"맨티, 타샤 리앤","수1A,1B 금3A,3B",,,외국어교육관-405,섬유시스템공학과,
,,CLTR411-015,실용영어1,2.0 ,,2.0 ,,"빌즈, 그라함 해롤드","월3A,3B 금1A,1B",,,외국어교육관-402,신소재공학부,
,,CLTR411-016,실용영어1,2.0 ,,2.0 ,,"갈스터, 네이슨 존","월3A,3B 금1A,1B",,,외국어교육관-407,신소재공학부,
,,CLTR411-017,실용영어1,2.0 ,,2.0 ,,"휴거, 이안 에드먼드","월3A,3B 금1A,1B",,,외국어교육관-403,신소재공학부,
,,CLTR411-018,실용영어1,2.0 ,,2.0 ,,"토마스, 재커리 제이","월3A,3B 금1A,1B",,,외국어교육관-422,신소재공학부,
,,CLTR411-019,실용영어1,2.0 ,,2.0 ,,"쿡, 콜린 제임스","월3A,3B 금1A,1B",,,외국어교육관-413,신소재공학부,
,,CLTR411-020,실용영어1,2.0 ,,2.0 ,,"워트링,앤쏘니","월3A,3B 금1A,1B",,,외국어교육관-421,신소재공학부,
,,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,,
첨성인기초(실용영어),,,,,,,,,,,2019학년도 제 1학기,,,
학년,구분,교과번호-분반,교과목명,학점,,강의,실습,   담당교수,"강의시간(요일,교시)",,,강의실,강좌관리과,
,,CLTR411-021,실용영어1,2.0 ,,2.0 ,,"갈스터, 네이슨 존","월5A,5B 수5A,5B",,,외국어교육관-407,토목공학과,
,,CLTR411-022,실용영어1,2.0 ,,2.0 ,,"토마스, 재커리 제이","월5A,5B 수5A,5B",,,외국어교육관-422,토목공학과,
,,CLTR411-023,실용영어1,2.0 ,,2.0 ,,"쿡, 콜린 제임스","월5A,5B 수5A,5B",,,외국어교육관-413,토목공학과,
